ID,Event description ,Location,Year,Manufacturer ,Image credit,Image credit,End user ,Wepon type,Weapon model,Country producer ,Company name,Headquarters,Source URL ,Source URL 2,Source URL 3,Source URL 4
LLW 022,Iranian police using tear gas against protesters.,Iran,2022,"Sipja, South Korea",Iran Wire,Iran Wire,Iran ,Tear gas launcher,SJ 600 N,South Korea ,Sipja ,Busan,https://iranwire.com/en/politics/109507-from-armored-vehicles-to-kalashnikovs-equipment-used-to-suppress-iran-protests/,https://twitter.com/royal_flush_666/status/1579776708869509120,,
LLW 023,Watercannon used against protesters in Teheran.,Iran,2022,"Jino Motors, South Korea",Iran Wire,Iran Wire,Iran ,Watercannon,TITAN 6X4/6X6,South Korea ,Jino Motors,Seoul,https://iranwire.com/en/politics/109507-from-armored-vehicles-to-kalashnikovs-equipment-used-to-suppress-iran-protests/,,,
LLW 024,Rubber bullets found on the streets in Lebanon during anti-government protests.,Lebanon,2021,"SAPL, France",Micha? Kranz,Micha? Kranz,Lebanon,Rubber bullets ,SAPL GOMM COGNE,France,SAPL,La Ferté-en-Ouche,https://www.amnesty.org/en/latest/research/2021/01/lebanon-french-less-lethal-weapons/,,,
LLW 025a,Tear gas grenades thrown at protesters in Lebanon.,Lebanon,2021,"SAE ALSETEX, France",@Akhbaralsaha,@Akhbaralsaha,Lebanon,Tear gas grenades,Alsetex,France ,SAE ALSETEX,Précigné,https://www.amnesty.org/en/latest/research/2021/01/lebanon-french-less-lethal-weapons/,,,
LLW 026,Authorities deployed tear gas against protesters in Tataouine.,Tunisia,2020,"Falken, Spain",RUPLTY,RUPLTY,Tunisia ,Tear gas grenades,FC-822M,Spain ,Falken ,Madrid,https://www.middleeasteye.net/news/tunisia-protests-tunis-ettadhamen-suburb-anger-poverty-crackdown,https://citizenevidence.org/2020/09/08/police-riot-gear-old-and-new/,https://wri-irg.org/en/story/2020/war-profiteer-month-falken-sa,https://twitter.com/omega_rf/status/1286661011949465601
LLW 027,Authorities deployed tear gas against protesters in Tataouine.,Tunisia,2020,"Combined Systems, USA",@SKhmira,@SKhmira,Tunisia ,Tear gas grenades ,,USA,Combined Systems ,"Jamestown, Pennsylvania",https://twitter.com/omega_rf/status/1286661011949465601,,,
LLW 028,"Iraqi security forces used excessive, and in some cases, lethal use of force to disperse protesters, including tear gas, live ammunition and deadly sniper attacks.",Iraq,2019,"Sloboda Cacak, Serbia",Amnesty International,Amnesty International,Iraq,Grenades ,,Serbia,Sloboda Cacak,?a?ak,https://www.amnesty.org/en/latest/news/2019/10/iraq-gruesome-string-of-fatalities-as-new-tear-gas-grenades-pierce-protesters-skulls/,,,
LLW 030,Police forces using tear gas to crackdown on protests across Bahrein.,Bahrain,2013,"DaeKwang Chemical, South Korea",Getty Images,Getty Images,Bahrain,Tear gas grenades ,,South Korea ,DaeKwang Chemical,Gimhae,https://www.oecdwatch.org/wp-content/uploads/sites/8/dlm_uploads/2021/03/Bahrain%20Watch%20vs%20Dae%20Kwang%20-%20complaint.pdf,https://www.amnesty.org/en/latest/press-release/2012/01/bahrain-s-use-tear-gas-against-protesters-increasingly-deadly/,,
LLW 031,An Israeli drone fires tear gas canisters above protesters at the Gaza border. ,Gaza,2018,"DJI, China",@Islam_Abdu80,@Islam_Abdu80,Israel ,Drone ,Drone adapted for tear gas launching ,China,DJI,Anshan,https://twitter.com/Islam_Abdu80/status/996067552882241537,https://twitter.com/AnonOpsSE/status/1517613661099020291,,
LLW 032,Israeli forces firing tear gas from Venom launchers against protesters. ,Israel,2013,"Combined Systems, USA",Haggai Matar,Haggai Matar,Israel ,Grenade launcher ,Venom ,USA,Combined Systems ,"Jamestown, Pennsylvania",https://www.972mag.com/mosque-tear-gassed-olive-tree-set-ablaze-summer-demonstrations-in-the-west-bank/,,,
LLW 033,Israeli forces firing at protester. ,Palestine,2020,"FAB Defines, Israel",@Thehopper7,@Thehopper7,Israel,Grenade launcher,FD-203,Israel,FAB Defense,Modi'in-Maccabim-Re'ut,https://twitter.com/Thehopper7/status/1330195712043266054,,,
LLW 034,Police firing shotguns at protesters in Myanmar.,Myanmar,2021,"Cheddite, France",RFA,RFA,Myanmar ,Rubber bullets,,"France, Italy",Cheddite,Livorno,https://global.ilmanifesto.it/after-italian-bullets-discovered-in-myanmar-legislators-focus-on-arms-loopholes/,https://www.irrawaddy.com/news/burma/italian-ammunition-used-myanmar-police-assault-ambulance-raises-questions.html,,
LLW 035,Police using excessive force against protesters in Myanmar.,Myanmar,2021,"DaeKwang, South Korea",Amnesty International,????,Myanmar ,Tear gas ,Dae Kwang DK-44,"France, South Korea ",DaeKwang Chemical Corporation,Gimhae,https://www.amnesty.org.uk/press-releases/myanmar-battlefield-weaponry-and-murderous-methods-used-against-protesters,,,
LLW 036,Police firing tear gas against protesters in Sri Lanka.,Sri Lanka,2022,"Norinco, China",Getty Images,Getty Images,Sri Lanka,Grenade launcher,NARG 38,China,Norinco,Beijing,https://www.facebook.com/Xposurenews/videos/1544123849333331/?extid=CL-UNK-UNK-UNK-AN_GK0T-GK1C&mibextid=1YhcI9R&ref=sharing,,,
LLW 037,Police firing tear gas against protesters in Sri Lanka.,Sri Lanka,2022,"Norinco, China",Talk with Lal,Talk with Lal,Sri Lanka,Grenade launcher,NARG 38,China,Norinco,Beijing,https://www.youtube.com/watch?v=hH12EIXH6Yw&ab_channel=TalkwithLal,,,
LLW 040,Cartridges of tear gas used against protesters in Pakistan. ,Pakistan,2023,"Condor Nonlethal Technologies, Brazil",@BenjaminNorton,@BenjaminNorton,Pakistan ,Tear gas cartridges,Condor GL-203/L ,Brazil,Condor Non-Lethal Technologies,Rio de Janeiro,https://twitter.com/BenjaminNorton/status/1636150165739302914?s=20,https://twitter.com/MintPressNews/status/1636385737376694272?s=20,https://www.youtube.com/shorts/oLUoSPS4koA,https://twitter.com/anumjan/status/1640239823184175104?s=20
LLW 041,Police firing tear gas against anti-Modi protesters in Dhaka.,Bangladesh,2021,"Norinco, China",Global News,Global News,Bangladesh,Grenade launcher,NARG 38,China,Norinco,Beijing,https://www.youtube.com/watch?v=mGtMPLzbaxo&ab_channel=GlobalNews,https://www.youtube.com/watch?v=EXgAVyu0btQ&ab_channel=VoiceofAmerica,,
LLW 042,Police using excessive force against protesters in Uzbekistan.,Uzbekistan,2022,"Arsenal AD, Bulgaria",infantmilitario,????,Uzbekistan,Tear gas cartridges,40mm RLV-SMK-3 smoke grenades,"Bulgaria, Russia ",Arsenal AD ,Sofia,https://www.hrw.org/news/2022/11/07/uzbekistan-police-abuses-autonomous-region-protests,,,
LLW 043,Police firing tear gas against anti-govt protests in Guinea.,Guinea,2020,"Norinco, China",Getty Images,Getty Images,Guinea,Grenade launcher,NARG 38,China,Norinco,Beijing,https://citizenevidence.org/2020/09/08/police-riot-gear-old-and-new/,https://www.youtube.com/watch?v=DaT5TLFTbi8,,https://www.amnesty.org/en/latest/press-release/2020/10/guinee-au-moins-personnes-tues-en-toute-impunite-dans-des-manifestations/
LLW 044,Police forces used tear gas unlawfully against protesters.,Sudan,2021,"Condor Nonlethal Technologies, Brazil",Omega,Omega,Sudan,Tear gas cartridges,GL-202 Long Range Tear Gas Projectile,Brazil,Condor Non-Lethal Technologies,Rio de Janeiro,https://storymaps.arcgis.com/stories/0a74a5a3a2c841a68304bca03f004a9b,https://storymaps.arcgis.com/stories/a974458e732f4d779e3b7b16e89d26e1,,
LLW 045,Police forces used hunting ammunition against protesters in Senegal.,Senegal,2023,"Cheddite, France",Maxim Sirvins,Maxim Sirvins,Senegal,Cartridges ,,"France, Italy",Cheddite,Livorno,https://twitter.com/MaximeSirvins/status/1661323330329231361,https://www.mediapart.fr/journal/international/240723/au-senegal-des-munitions-de-chasse-francaises-utilisees-contre-des-manifestants,https://www.streetpress.com/sujet/1615980861-france-fournit-senegal-armes-repression-maintien-ordre-grenades-lacrymos,
LLW 046,Police forces firing tear gas against protesters in Senegal.,Senegal,2023,"SAE ALTEX, France","
AFP via Getty Images","
AFP via Getty Images",Senegal,Grenade launcher,,France,SAE ALSETEX,Précigné,https://twitter.com/MaximeSirvins/status/1661323319704944640,https://www.gettyimages.de/detail/nachrichtenfoto/senegalese-police-confront-students-during-protests-at-nachrichtenfoto/959163938?adppopup=true,,
LLW 047,Police forces firing tear gas against protesters in Senegal.,Senegal,2023,"SAE ALTEX, France",AP,AP,Senegal,Grenade launcher ,,France,SAE ALSETEX,Précigné,https://twitter.com/MaximeSirvins/status/1666830723855048705/photo/2,,,
LLW 048,Tear gas used on children protesting playground closure.,Kenya,2015,"Norinco, China",EPA,EPA,Kenya ,Grenade launcher ,NARG 38,China,Norinco,Beijing,https://omegaresearchfoundation.org/sites/default/files/uploads/Publications/Law%20Enforcement%20Equipment%20-%20Kenya.pdf,https://www.cbsnews.com/pictures/kenya-school-children-tear-gassed-over-playground/3/,,
LLW 050,Police firing PepperBall guns towards the protesters in Turkey.,Türkiye,2021,"Byrna, USA",Daily Motion,Daily Motion,Turkey,PepperBall Guns,Mission Less Lethal MLR,USA,Byrna,"Andover, Massachusetts",https://www.dailymotion.com/video/x7ygxx2,https://twitter.com/birgun_gazetesi/status/1356622124509716480?s=46&t=StNfInhBRKHDDDb-xdq4vQ,,
LLW 051,Police firing tear gas at protesters in Istanbul. ,Türkiye,2018,"Tippman Sports LLC, USA",@dokuz8haber,@dokuz8haber,Turkey,Grenade launcher ,Paintball guns adapted for tear gas launching,USA,Tippman Sports LLC,"Fort Wayne, Indiana",https://twitter.com/dokuz8haber/status/1033282380683988993,,,
LLW 052,Police fires rubber bullets during anti-government protests in Tbilisi.,Georgia,2019,"Norinco, China",Radio Free Europe,Radio Free Europe,Georgia,Grenade launcher,NARG 38,China,Norinco,Beijing,https://twitter.com/RFERL/status/1143205621354893313?s=20&t=-Z9jgSRmdrA7T1huStDvrA,https://twitter.com/RFERL/status/1141991965111791617?s=20&t=-Z9jgSRmdrA7T1huStDvrA,,
LLW 055,Police using tear gas against protesters in Turkey.,Türkiye,2013,"DaeKwang, South Korea",SosyalistAlternatif,Güney Kore,Türkiye,Tear gas  ,,South Korea,DaeKwang Chemical Corporation,Gimhae,http://www.egeninsesi.com/haber/65208-1_mayisin_milli_ickisi_biber_gazi,,,
LLW 056,Police forces using tear gas against protesters in Paris.,France,2023,"SAE ALTEX, France",Getty Images,Getty Images,France,Grenade launcher ,,France,SAE ALSETEX,Précigné,https://punchng.com/thousands-march-against-police-violence-in-france/,,,
LLW 057,Rubber bullets found during protests in Minsk.,Belorussia,2021,"Rosoboronexport, Russia",Amnesty International,Amnesty International,Belarus,Rubber bullets,VGM-93 series grenades,Russia,Rosoboronexport,Moscow,https://citizenevidence.org/2020/09/08/police-riot-gear-old-and-new/,,,
,,,,,,,,,,,,,,,,
